step,step_time_s,tokens_this_step,peak_mem_gb,loss
0,0.8865,32768,21.965,3.04
1,0.8431,32768,21.843,2.974
2,0.8809,32768,22.156,2.704
3,0.8268,32768,21.805,3.958
4,0.8781,32768,22.006,3.2
5,0.8565,32768,21.857,2.866
6,0.8659,32768,22.098,3.414
7,0.8239,32768,22.162,3.694
8,0.85,32768,22.053,3.353
9,0.8369,32768,21.985,3.73
10,0.8388,32768,22.109,3.783
11,0.9034,32768,21.844,2.534
12,0.8789,32768,21.874,3.669
13,0.8692,32768,21.996,2.6
14,0.8623,32768,21.917,2.688
15,0.8416,32768,21.817,3.193
16,0.8942,32768,21.995,3.826
17,0.9034,32768,22.177,3.66
18,0.8803,32768,22.093,2.575
19,0.8242,32768,21.947,3.894
20,0.8282,32768,22.152,2.581
21,0.8577,32768,21.978,3.63
22,0.9048,32768,22.006,2.58
23,0.8503,32768,21.895,2.792
24,0.8676,32768,22.14,2.799
25,0.8703,32768,21.965,3.406
26,0.8824,32768,21.909,3.742
27,0.884,32768,21.865,3.531
28,0.8968,32768,21.875,2.999
29,0.8975,32768,22.187,3.665
30,0.8682,32768,22.129,2.525
31,0.9016,32768,21.912,3.386
32,0.8886,32768,21.869,3.676
33,0.8884,32768,22.048,3.27
34,0.8833,32768,21.966,2.935
35,0.8765,32768,21.861,3.123
36,0.8684,32768,21.839,2.598
37,0.9027,32768,21.936,3.342
38,0.8791,32768,21.811,3.444
39,0.8952,32768,22.154,3.025
40,0.8366,32768,21.862,2.575
41,0.9054,32768,22.124,3.035
42,0.8968,32768,22.001,2.708
43,0.8509,32768,22.12,3.09
44,0.8752,32768,21.828,3.0
45,0.8983,32768,22.064,3.938
46,0.8994,32768,22.057,3.963
47,0.8838,32768,22.129,2.91
48,0.9044,32768,22.085,2.548
49,0.8893,32768,22.173,3.795
50,0.8656,32768,21.832,3.523
51,0.8437,32768,22.197,3.161
52,0.848,32768,21.903,3.242
53,0.8333,32768,21.888,2.806
54,0.8431,32768,22.087,3.27
55,0.8984,32768,22.128,3.456
56,0.8735,32768,21.903,3.179
57,0.8578,32768,22.086,3.989
58,0.8283,32768,22.195,3.429
59,0.8777,32768,21.84,3.323
60,0.9011,32768,21.869,2.624
61,0.8202,32768,22.116,3.561
62,0.8716,32768,21.875,3.074
63,0.8501,32768,22.01,3.409
64,0.9044,32768,22.134,2.787
65,0.8259,32768,21.923,3.628
66,0.863,32768,21.87,3.287
67,0.8668,32768,22.157,2.698
68,0.875,32768,22.031,3.872
69,0.8768,32768,22.038,2.67
70,0.8609,32768,22.074,3.247
71,0.8195,32768,21.803,3.976
72,0.8314,32768,21.957,3.299
73,0.8547,32768,22.045,2.71
74,0.8939,32768,21.993,2.668
75,0.9018,32768,22.181,2.82
76,0.8536,32768,22.135,3.277
77,0.8584,32768,22.17,3.199
78,0.8807,32768,21.819,2.73
79,0.8926,32768,21.998,3.861
80,0.8287,32768,22.132,2.776
81,0.8584,32768,21.895,3.836
82,0.8869,32768,21.847,3.754
83,0.8591,32768,22.001,2.565
84,0.8408,32768,22.182,2.858
85,0.841,32768,21.889,3.771
86,0.8487,32768,21.959,3.549
87,0.8877,32768,22.061,3.399
88,0.8623,32768,21.88,2.93
89,0.875,32768,21.932,2.831
90,0.8528,32768,22.028,3.594
91,0.8788,32768,21.996,2.73
92,0.8207,32768,21.884,2.742
93,0.8297,32768,22.148,3.835
94,0.9019,32768,22.177,3.493
95,0.8498,32768,21.971,3.746
96,0.8779,32768,21.815,3.163
97,0.8447,32768,21.957,3.0
98,0.8632,32768,21.891,3.91
99,0.8514,32768,22.073,3.317
100,0.8739,32768,21.814,2.722
101,0.8338,32768,22.01,3.185
102,0.8822,32768,21.965,2.832
103,0.8924,32768,22.078,3.603
104,0.8464,32768,21.832,2.989
105,0.8793,32768,21.871,3.562
106,0.8768,32768,21.856,2.607
107,0.8848,32768,22.076,3.543
108,0.8784,32768,22.028,3.585
109,0.8892,32768,22.022,3.835
110,0.8394,32768,21.953,3.17
111,0.8301,32768,22.035,3.782
112,0.877,32768,22.109,2.634
113,0.8756,32768,22.05,2.821
114,0.8822,32768,21.973,2.821
115,0.8446,32768,22.081,2.553
116,0.886,32768,21.819,3.875
117,0.9047,32768,22.09,3.454
118,0.8304,32768,22.096,3.287
119,0.8489,32768,22.055,2.978
120,0.9005,32768,21.817,3.958
121,0.8831,32768,21.846,2.596
122,0.827,32768,21.977,2.927
123,0.8347,32768,22.047,3.86
124,0.8938,32768,22.116,3.656
125,0.8644,32768,22.127,3.38
126,0.8347,32768,21.903,3.017
127,0.8399,32768,21.898,2.571
128,0.8994,32768,21.875,3.715
129,0.8725,32768,22.142,3.793
130,0.8812,32768,21.905,3.761
131,0.8695,32768,21.918,3.267
132,0.8258,32768,21.864,3.074
133,0.8894,32768,22.181,3.392
134,0.8995,32768,21.973,2.9
135,0.8878,32768,22.176,3.12
136,0.8474,32768,21.834,3.623
137,0.894,32768,21.877,2.921
138,0.86,32768,22.066,2.634
139,0.8321,32768,21.929,3.232
140,0.8642,32768,22.105,2.636
141,0.8987,32768,21.924,3.551
142,0.8336,32768,21.954,2.919
143,0.8935,32768,21.87,2.877
144,0.8533,32768,22.169,3.32
145,0.8302,32768,21.978,3.061
146,0.8312,32768,21.876,3.562
147,0.8481,32768,22.001,2.999
148,0.8647,32768,22.016,3.295
149,0.8879,32768,21.941,3.26
150,0.8971,32768,21.812,3.785
151,0.8333,32768,22.059,3.159
152,0.82,32768,22.048,3.756
153,0.8701,32768,21.977,3.129
154,0.892,32768,22.104,3.729
155,0.8977,32768,22.024,2.646
156,0.8876,32768,22.128,3.669
157,0.8262,32768,21.844,3.898
158,0.8822,32768,22.014,2.842
159,0.8579,32768,22.131,3.715
160,0.9006,32768,21.81,2.702
161,0.8557,32768,22.008,3.874
162,0.8194,32768,22.13,3.063
163,0.8629,32768,22.026,3.161
164,0.8668,32768,22.038,2.559
165,0.8245,32768,21.83,3.45
166,0.8905,32768,21.801,2.885
167,0.8811,32768,21.865,3.29
168,0.9043,32768,21.88,2.635
169,0.8273,32768,21.828,3.544
170,0.8357,32768,21.826,2.864
171,0.8743,32768,21.809,3.39
172,0.8809,32768,22.081,2.899
173,0.8208,32768,22.143,3.371
174,0.8624,32768,22.092,3.549
175,0.8453,32768,21.839,2.866
176,0.8348,32768,22.017,2.551
177,0.8543,32768,21.957,3.489
178,0.8207,32768,21.819,3.651
179,0.829,32768,22.19,3.505
180,0.8641,32768,22.146,3.954
181,0.8526,32768,21.922,3.96
182,0.8359,32768,21.955,2.797
183,0.8674,32768,21.906,2.591
184,0.8492,32768,22.136,2.792
185,0.8281,32768,22.042,3.129
186,0.837,32768,21.948,3.353
187,0.8387,32768,21.834,2.833
188,0.8547,32768,22.159,2.968
189,0.8419,32768,22.043,2.789
190,0.8249,32768,21.93,3.9
191,0.8452,32768,21.872,3.989
192,0.8295,32768,22.177,3.669
193,0.9042,32768,21.871,3.877
194,0.8813,32768,22.051,2.539
195,0.8825,32768,22.083,2.639
196,0.9028,32768,22.019,3.052
197,0.9006,32768,22.047,3.763
198,0.8943,32768,21.921,2.763
199,0.8896,32768,22.137,3.893
200,0.8725,32768,22.122,3.482
201,0.8498,32768,22.119,3.003
202,0.8351,32768,21.832,3.191
203,0.8353,32768,22.16,2.993
204,0.8246,32768,21.906,3.204
205,0.876,32768,21.909,3.588
206,0.8913,32768,22.046,3.42
207,0.8927,32768,21.856,3.76
208,0.8718,32768,21.948,3.024
209,0.9002,32768,21.842,3.887
210,0.8331,32768,21.966,3.088
211,0.8392,32768,22.046,3.428
212,0.8678,32768,21.845,3.444
213,0.8225,32768,22.049,3.728
214,0.8341,32768,22.168,3.499
215,0.8685,32768,22.044,2.641
216,0.8397,32768,22.175,3.291
217,0.9008,32768,22.051,2.975
218,0.8795,32768,22.051,2.705
219,0.8724,32768,21.877,3.161
220,0.8415,32768,21.809,3.283
221,0.8814,32768,21.863,3.051
222,0.8631,32768,21.93,2.581
223,0.83,32768,22.093,2.72
224,0.8949,32768,21.843,3.411
225,0.8744,32768,22.057,2.736
226,0.8652,32768,22.166,2.816
227,0.8208,32768,21.827,2.867
228,0.8763,32768,21.916,2.876
229,0.8857,32768,22.092,2.817
230,0.9037,32768,22.099,3.716
231,0.8993,32768,22.029,3.339
232,0.8652,32768,21.89,2.671
233,0.8384,32768,21.825,3.54
234,0.8602,32768,21.815,3.14
235,0.8787,32768,21.884,3.512
236,0.8908,32768,21.959,3.643
237,0.8858,32768,22.111,2.912
238,0.8453,32768,22.015,3.282
239,0.8438,32768,22.001,2.913
240,0.8777,32768,22.137,2.764
241,0.8365,32768,22.047,2.923
242,0.8848,32768,21.851,3.119
243,0.8377,32768,22.087,2.86
244,0.858,32768,21.929,3.197
245,0.8553,32768,22.144,3.311
246,0.8275,32768,22.115,3.628
247,0.8645,32768,22.181,3.722
248,0.8357,32768,21.892,3.595
249,0.8677,32768,22.159,2.664
250,0.8442,32768,22.111,3.849
251,0.8427,32768,22.146,3.416
252,0.8268,32768,21.902,3.354
253,0.8448,32768,21.825,2.76
254,0.8928,32768,21.901,2.935
255,0.8544,32768,22.175,2.947
256,0.8372,32768,21.968,2.692
257,0.8437,32768,22.015,3.889
258,0.8812,32768,22.147,3.228
259,0.8984,32768,21.972,3.122
260,0.8327,32768,21.907,2.928
261,0.8624,32768,22.137,2.933
262,0.8975,32768,21.855,2.939
263,0.8814,32768,22.009,3.039
264,0.844,32768,21.846,3.185
265,0.862,32768,21.956,3.874
266,0.8595,32768,21.856,2.597
267,0.9018,32768,21.919,2.74
268,0.8257,32768,21.962,2.798
269,0.8979,32768,22.175,3.141
270,0.9033,32768,21.852,2.989
271,0.8213,32768,22.134,2.721
272,0.8806,32768,21.829,3.955
273,0.8658,32768,21.814,2.673
274,0.8559,32768,21.85,3.454
275,0.8905,32768,22.095,3.676
276,0.8461,32768,22.13,3.782
277,0.8374,32768,22.172,3.22
278,0.8463,32768,21.829,3.546
279,0.8789,32768,21.963,2.928
280,0.8599,32768,21.942,3.791
281,0.8976,32768,22.117,3.195
282,0.8642,32768,22.048,3.997
283,0.8569,32768,21.852,3.13
284,0.8871,32768,22.108,3.732
285,0.8671,32768,22.029,2.899
