step,step_time_s,tokens_this_step,peak_mem_gb,loss
0,1.0351,32768,14.652,3.91
1,0.9568,32768,14.448,3.898
2,0.9905,32768,14.389,2.846
3,0.9662,32768,14.618,3.788
4,0.9743,32768,14.44,3.065
5,1.0415,32768,14.44,3.406
6,0.9463,32768,14.497,2.642
7,1.0227,32768,14.389,3.293
8,0.9613,32768,14.508,3.033
9,1.0038,32768,14.347,2.739
10,1.0317,32768,14.419,2.611
11,0.9676,32768,14.304,3.85
12,0.9812,32768,14.43,3.234
13,1.0349,32768,14.689,3.501
14,1.0177,32768,14.395,2.894
15,0.9617,32768,14.423,3.081
16,1.0334,32768,14.592,3.635
17,1.0267,32768,14.56,3.413
18,0.9686,32768,14.619,3.366
19,1.0418,32768,14.316,3.584
20,1.0108,32768,14.332,3.035
21,1.0289,32768,14.564,3.012
22,0.9779,32768,14.5,3.018
23,0.9629,32768,14.667,2.818
24,1.0168,32768,14.492,3.436
25,1.0285,32768,14.636,3.641
26,0.9852,32768,14.633,3.44
27,0.9701,32768,14.554,3.59
28,0.9482,32768,14.562,3.362
29,1.0375,32768,14.5,2.833
30,1.0151,32768,14.628,2.588
31,1.0061,32768,14.331,3.115
32,0.9773,32768,14.478,3.271
33,0.958,32768,14.519,3.721
34,0.9979,32768,14.669,3.488
35,0.9889,32768,14.444,3.027
36,1.0074,32768,14.444,2.769
37,0.9508,32768,14.588,3.268
38,1.0355,32768,14.59,3.347
39,1.0324,32768,14.509,2.711
40,0.9497,32768,14.523,3.481
41,1.0089,32768,14.7,2.976
42,0.9986,32768,14.647,3.946
43,1.0414,32768,14.667,3.081
44,0.9941,32768,14.637,3.637
45,1.0175,32768,14.623,2.996
46,1.0406,32768,14.476,2.754
47,0.9919,32768,14.659,3.482
48,0.9465,32768,14.686,3.156
49,0.9508,32768,14.309,3.558
50,0.9791,32768,14.493,2.665
51,0.9559,32768,14.652,3.052
52,0.9459,32768,14.389,2.581
53,0.9818,32768,14.326,2.524
54,0.951,32768,14.61,3.132
55,0.9937,32768,14.331,3.801
56,1.0037,32768,14.483,2.926
57,0.9955,32768,14.351,3.917
58,0.9952,32768,14.371,3.755
59,0.9638,32768,14.362,3.289
60,0.9467,32768,14.474,3.233
61,1.0105,32768,14.667,2.575
62,1.0366,32768,14.318,3.658
63,1.035,32768,14.413,3.299
64,0.966,32768,14.316,3.588
65,0.9612,32768,14.562,3.179
66,0.9857,32768,14.692,3.826
67,0.9602,32768,14.358,2.879
68,1.0066,32768,14.365,3.742
69,0.9998,32768,14.427,2.949
70,1.0048,32768,14.488,2.794
71,0.9753,32768,14.532,2.682
72,0.986,32768,14.438,3.116
73,1.0242,32768,14.568,3.223
74,0.9522,32768,14.484,3.397
75,1.038,32768,14.497,3.018
76,0.9851,32768,14.451,3.161
77,0.9696,32768,14.417,2.963
78,0.9769,32768,14.303,3.996
79,0.9451,32768,14.583,3.474
80,0.9992,32768,14.465,2.566
81,0.9479,32768,14.383,3.365
82,1.007,32768,14.519,3.937
83,0.9626,32768,14.56,3.79
84,1.0241,32768,14.595,3.797
85,1.0188,32768,14.404,2.994
86,0.9859,32768,14.529,2.798
87,0.9704,32768,14.4,3.351
88,1.0332,32768,14.467,3.325
89,1.0047,32768,14.616,3.534
90,1.0348,32768,14.412,3.158
91,0.9803,32768,14.632,2.876
92,1.0209,32768,14.544,3.346
93,1.0107,32768,14.573,2.605
94,0.9555,32768,14.553,3.832
95,1.0103,32768,14.335,3.931
96,1.0258,32768,14.483,2.767
97,1.0181,32768,14.334,3.392
98,0.9699,32768,14.445,3.558
99,1.0382,32768,14.53,3.86
100,0.9622,32768,14.612,2.941
101,0.9866,32768,14.661,3.333
102,0.95,32768,14.337,3.619
103,1.0219,32768,14.621,3.301
104,1.0213,32768,14.373,3.175
105,0.9732,32768,14.657,3.968
106,0.9448,32768,14.513,2.842
107,0.9767,32768,14.601,2.572
108,0.9831,32768,14.479,3.971
109,0.9448,32768,14.389,2.597
110,1.0085,32768,14.657,2.789
111,0.9706,32768,14.435,3.658
112,1.0418,32768,14.405,2.872
113,0.9479,32768,14.592,3.469
114,1.0369,32768,14.616,3.173
115,0.9515,32768,14.337,3.909
116,1.02,32768,14.591,3.992
117,1.0417,32768,14.574,2.72
118,0.9827,32768,14.514,2.628
119,1.0298,32768,14.411,2.674
120,0.9614,32768,14.652,2.858
121,1.0398,32768,14.698,3.241
122,0.9663,32768,14.685,3.909
123,1.0338,32768,14.455,3.091
124,0.9614,32768,14.551,3.042
125,1.0131,32768,14.322,3.549
126,0.9576,32768,14.578,2.909
127,1.0199,32768,14.558,3.329
128,0.9816,32768,14.303,3.649
129,0.9811,32768,14.468,3.244
130,1.0305,32768,14.445,3.935
131,0.9872,32768,14.694,2.517
132,1.0347,32768,14.408,2.808
133,0.9483,32768,14.393,2.583
134,0.9633,32768,14.305,3.006
135,1.0177,32768,14.337,3.535
136,1.0274,32768,14.409,3.369
