step,step_time_s,tokens_this_step,peak_mem_gb,loss
1,2.811712,32768,22.9205,
2,1.545332,32768,22.9205,
3,1.545912,32768,22.9205,
4,1.539706,32768,22.9205,
5,1.541516,32768,22.9205,
6,1.541985,32768,22.9205,
7,1.539416,32768,22.9205,
8,1.540231,32768,22.9205,
9,1.541968,32768,22.9205,
10,1.543778,32768,22.9205,
11,1.539678,32768,22.9205,
12,1.540890,32768,22.9205,
13,1.545758,32768,22.9205,
14,1.536677,32768,22.9205,
15,1.541164,32768,22.9205,
16,1.540851,32768,22.9205,
17,1.539291,32768,22.9205,
18,1.540561,32768,22.9205,
19,1.540259,32768,22.9205,
20,1.542940,32768,22.9205,
21,1.544621,32768,22.9205,
22,1.539727,32768,22.9205,
23,1.543427,32768,22.9205,
24,1.542228,32768,22.9205,
25,1.543826,32768,22.9205,
26,1.544212,32768,22.9205,
27,1.541408,32768,22.9205,
28,1.539436,32768,22.9205,
29,1.543404,32768,22.9205,
30,1.539895,32768,22.9205,
31,1.542550,32768,22.9205,
32,1.543055,32768,22.9205,
33,1.544074,32768,22.9205,
34,1.540815,32768,22.9205,
35,1.542141,32768,22.9205,
36,1.543135,32768,22.9205,
37,1.545181,32768,22.9205,
38,1.540547,32768,22.9205,
39,1.541230,32768,22.9205,
40,1.547992,32768,22.9205,
41,1.538363,32768,22.9205,
42,1.543967,32768,22.9205,
43,1.541560,32768,22.9205,
44,1.542002,32768,22.9205,
45,1.542367,32768,22.9205,
46,1.546415,32768,22.9205,
47,1.537589,32768,22.9205,
48,1.542320,32768,22.9205,
49,1.541940,32768,22.9205,
50,1.543234,32768,22.9205,
51,1.541438,32768,22.9205,
52,1.543019,32768,22.9205,
53,1.543635,32768,22.9205,
54,1.545750,32768,22.9205,
55,1.541071,32768,22.9205,
56,1.543300,32768,22.9205,
57,1.551190,32768,22.9205,
58,1.534730,32768,22.9205,
59,1.541628,32768,22.9205,
60,1.543094,32768,22.9205,
61,1.544065,32768,22.9205,
62,1.543022,32768,22.9205,
63,1.542473,32768,22.9205,
64,1.547203,32768,22.9205,
65,1.538285,32768,22.9205,
66,1.542445,32768,22.9205,
67,1.544519,32768,22.9205,
68,1.553123,32768,22.9205,
69,1.532621,32768,22.9205,
70,1.546894,32768,22.9205,
71,1.538579,32768,22.9205,
72,1.545545,32768,22.9205,
73,1.545588,32768,22.9205,
74,1.546876,32768,22.9205,
75,1.536420,32768,22.9205,
76,1.543767,32768,22.9205,
77,1.546413,32768,22.9205,
78,1.544430,32768,22.9205,
79,1.542596,32768,22.9205,
80,1.548587,32768,22.9205,
81,1.540977,32768,22.9205,
82,1.539866,32768,22.9205,
83,1.543798,32768,22.9205,
84,1.545121,32768,22.9205,
85,1.543965,32768,22.9205,
86,1.547317,32768,22.9205,
87,1.539828,32768,22.9205,
88,1.541475,32768,22.9205,
89,1.543902,32768,22.9205,
90,1.542990,32768,22.9205,
91,1.543620,32768,22.9205,
92,1.545286,32768,22.9205,
93,1.542403,32768,22.9205,
94,1.542954,32768,22.9205,
95,1.544643,32768,22.9205,
96,1.550004,32768,22.9205,
97,1.562909,32768,22.9205,
98,1.525531,32768,22.9205,
99,1.539642,32768,22.9205,
100,1.551483,32768,22.9205,
101,1.538257,32768,22.9205,
102,1.544012,32768,22.9205,
103,1.546441,32768,22.9205,
104,1.544781,32768,22.9205,
105,1.541026,32768,22.9205,
106,1.546123,32768,22.9205,
107,1.545198,32768,22.9205,
108,1.542037,32768,22.9205,
109,1.543617,32768,22.9205,
110,1.544015,32768,22.9205,
111,1.544429,32768,22.9205,
112,1.544865,32768,22.9205,
113,1.549388,32768,22.9205,
114,1.539792,32768,22.9205,
115,1.545892,32768,22.9205,
116,1.543642,32768,22.9205,
117,1.544299,32768,22.9205,
118,1.543447,32768,22.9205,
119,1.543462,32768,22.9205,
120,1.546405,32768,22.9205,
121,1.542657,32768,22.9205,
