step,step_time_s,tokens_this_step,peak_mem_gb,loss
0,3.7425,32768,11.815,3.711
1,3.6557,32768,11.948,3.252
2,3.6619,32768,12.083,2.767
3,3.7,32768,11.85,3.131
4,3.5888,32768,12.091,3.239
5,3.7437,32768,12.126,3.795
6,3.7596,32768,12.071,2.859
7,3.5694,32768,12.067,3.822
8,3.8927,32768,11.87,2.913
9,3.5773,32768,11.978,2.845
10,3.8656,32768,11.853,2.705
11,3.8489,32768,11.807,3.755
12,3.8514,32768,11.966,3.162
13,3.6013,32768,12.068,3.887
14,3.8832,32768,12.151,3.784
15,3.6561,32768,12.007,3.747
16,3.6499,32768,12.041,2.576
17,3.7999,32768,11.975,2.716
18,3.78,32768,11.848,3.228
19,3.8759,32768,12.128,2.887
20,3.5695,32768,11.827,3.492
21,3.8694,32768,11.935,2.798
22,3.6531,32768,11.926,2.804
23,3.6401,32768,12.105,3.344
24,3.8208,32768,12.144,2.688
25,3.6592,32768,11.929,3.955
26,3.856,32768,11.812,3.209
27,3.8678,32768,12.091,3.142
28,3.7933,32768,11.821,2.84
29,3.5424,32768,12.137,3.159
30,3.6063,32768,12.1,3.406
31,3.869,32768,11.943,3.259
32,3.6582,32768,11.929,2.84
33,3.5498,32768,12.192,2.511
34,3.6072,32768,12.058,3.856
35,3.5741,32768,12.008,3.593
36,3.615,32768,11.817,3.278
37,3.7573,32768,11.964,3.109
38,3.6552,32768,12.133,2.708
39,3.7572,32768,11.845,2.689
40,3.67,32768,12.037,2.836
41,3.6212,32768,12.0,2.583
42,3.7368,32768,12.182,3.401
43,3.8923,32768,12.087,2.699
44,3.5854,32768,11.897,3.999
45,3.6968,32768,12.147,2.762
46,3.8143,32768,11.903,3.068
47,3.7347,32768,11.953,2.831
48,3.7643,32768,11.857,3.735
49,3.8238,32768,12.138,2.678
50,3.5713,32768,12.185,2.563
51,3.8167,32768,11.825,2.544
52,3.886,32768,11.939,3.06
53,3.5902,32768,11.988,2.931
54,3.9087,32768,11.926,3.418
55,3.6439,32768,12.148,3.108
56,3.8993,32768,11.929,3.642
57,3.5535,32768,12.124,3.844
